Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
graphicriver.net,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0
ecnavi.jp,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0
hubpages.com,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
extratorrent.cc,0,0,1,3,0,0,0,0,0,0,0,1,1,1,1,1,0
icicibank.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,1,0
nypost.com,0,0,1,4,0,0,1,0,0,1,1,1,0,0,1,0,0
kienthuc.net.vn,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
thenextweb.com,0,0,1,6,0,0,0,0,0,1,0,1,1,1,1,1,0
tobogo.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
akhbarelyom.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,0
tunein.com,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,1,0
tune.pk,0,0,1,3,0,0,0,0,0,0,1,1,1,1,1,1,0
sfglobe.com,0,0,1,4,0,0,0,0,0,0,1,1,1,1,1,1,0
mic.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,1,0
thenextweb.com,0,0,1,6,0,0,0,0,0,1,0,1,1,1,1,1,0
couchtuner.eu.com,0,0,1,3,0,0,0,0,1,0,1,1,1,1,1,1,0
olx.in,0,0,1,3,0,0,0,0,0,1,0,0,1,1,1,1,0
venturebeat.com,0,0,1,4,0,0,1,0,0,1,1,1,0,0,1,0,0
allegro.pl,0,0,1,2,0,0,0,0,0,1,0,1,1,1,1,1,0
allegro.pl,0,0,1,2,0,0,0,0,0,1,0,1,1,1,1,1,0
tinnhanh360.net,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0
metro.co.uk,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0
atwiki.jp,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
emgn.com,0,0,1,2,0,0,0,0,0,0,1,1,1,1,1,1,0
nguyentandung.org,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0
motthegioi.vn,0,0,1,2,0,0,0,0,0,0,1,1,1,1,1,1,0
spankbang.com,0,0,1,3,0,0,0,0,0,1,0,0,1,1,1,1,0
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
mic.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
thenextweb.com,0,0,1,7,0,0,0,0,0,1,0,1,1,1,1,1,0
emgn.com,0,0,1,2,0,0,0,0,0,0,1,1,1,1,1,1,0
depositphotos.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
serverfault.com,0,0,1,3,0,0,1,0,0,1,0,1,0,0,1,0,0
kakaku.com,0,0,1,6,0,0,0,0,0,1,0,1,0,0,1,0,0
indianexpress.com,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1,0
nypost.com,0,0,1,4,0,0,1,0,0,1,1,1,0,0,1,0,0
distractify.com,0,0,1,10,0,0,0,0,0,1,1,1,1,1,1,1,0
sourceforge.net,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
babal.net,0,0,1,4,0,0,0,0,0,0,1,1,1,1,1,1,0
serverfault.com,0,0,1,3,0,0,1,0,0,1,0,1,0,0,1,0,0
cookpad.com,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0
plarium.com,0,0,1,5,0,0,0,0,0,1,1,1,1,1,1,1,0
pikabu.ru,0,0,1,3,0,0,0,0,0,1,0,0,1,1,1,1,0
grantland.com,0,0,1,2,0,0,0,0,0,0,0,1,1,1,1,1,0
allegro.pl,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,0
nguyentandung.org,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0
allegro.pl,0,0,1,2,0,0,0,0,0,1,0,1,1,1,1,1,0
europa.eu,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,1,0
extratorrent.cc,0,0,1,3,0,0,0,0,0,0,0,1,1,1,1,1,0
persianblog.ir,0,0,1,4,0,0,0,0,0,0,1,1,1,1,1,1,0
distractify.com,0,0,1,10,0,0,0,0,0,1,1,1,1,1,1,1,0
kenh14.vn,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
twitter.com,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0
nesn.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
fishki.net,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0
syosetu.com,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,0
akhbarelyom.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,0
allegro.pl,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0
getpocket.com,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0
mylust.com,0,0,1,3,0,0,1,0,0,1,1,1,0,0,1,0,0
censor.net.ua,0,0,1,3,0,0,0,0,0,0,0,1,1,1,1,1,0
pornsharing.com,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0
genius.com,0,0,1,3,0,0,0,0,0,1,0,1,1,1,1,1,0
sourceforge.net,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
codecanyon.net,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1,0
qz.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
kenh14.vn,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
uproxx.com,0,0,1,4,0,0,1,0,0,1,0,1,0,0,1,0,0
babal.net,0,0,1,4,0,0,0,0,0,0,1,1,1,1,1,1,0
mic.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
paytm.com,0,0,1,2,0,0,0,0,0,1,1,1,1,1,1,1,0
motthegioi.vn,0,0,1,3,0,0,0,0,0,0,1,1,1,1,1,1,0
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
thenextweb.com,0,0,1,6,0,0,0,0,0,1,0,1,1,1,1,1,0
extratorrent.cc,0,0,1,3,0,0,0,0,0,0,0,1,1,1,1,1,0
genius.com,0,0,1,3,0,0,0,0,0,1,0,1,1,1,1,1,0
thenextweb.com,0,0,1,5,0,0,0,0,0,1,0,1,1,1,1,1,0
kienthuc.net.vn,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
sourceforge.net,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
nypost.com,0,0,1,4,0,0,1,0,0,1,1,1,0,0,1,0,0
ap.org,0,0,1,4,0,0,0,0,0,1,0,1,1,1,1,1,0
indianexpress.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
extratorrent.cc,0,0,1,3,0,0,0,0,0,0,0,1,1,1,1,1,0
correios.com.br,0,0,1,5,0,0,0,0,0,1,1,1,1,1,1,1,0
web.de,0,0,1,6,0,0,0,0,0,1,1,1,1,1,1,1,0
noticias.uol.com.br,0,0,1,6,0,0,0,0,0,1,1,0,1,1,1,1,0
bdnews24.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0
kenh14.vn,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
codecanyon.net,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1,0
tunein.com,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0
nguyentandung.org,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0
kickass.to,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0
weathernews.jp,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
atwiki.jp,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
plarium.com,0,0,1,5,0,0,0,0,0,1,0,0,1,1,1,1,0
chaturbate.com,0,0,1,3,0,0,0,0,0,1,0,1,1,1,1,1,0
babal.net,0,0,1,4,0,0,0,0,0,0,1,1,1,1,1,1,0
sberbank.ru,0,0,1,9,0,0,0,0,0,1,0,1,1,1,1,1,0
